評論數,標題,鏈接
7,後端工程師必備: 排程任務的處理機制練習,http://columns.chicken-house.net/2019/08/30/scheduling-practices/
7,"架構面試題 - 抽象化設計, 折扣規則的設計機制",http://columns.chicken-house.net/2020/03/10/interview-abstraction/
6,新手機真是讚 (y) - II,http://columns.chicken-house.net/2007/02/03/%e6%96%b0%e6%89%8b%e6%a9%9f%e7%9c%9f%e6%98%af%e8%ae%9a-y-ii/
6,換到 BlogEngine.Net 了!,http://columns.chicken-house.net/2008/06/17/%e6%8f%9b%e5%88%b0-blogengine-net-%e4%ba%86/
6,x64 programming #2: ASP.NET + ODBC (讀取 CSV),http://columns.chicken-house.net/2008/07/26/x64-programming-2-asp-net-odbc-%e8%ae%80%e5%8f%96-csv/
6,"[設計案例] 生命遊戲 #4, 有效率的使用執行緒",http://columns.chicken-house.net/2009/09/19/%e8%a8%ad%e8%a8%88%e6%a1%88%e4%be%8b-%e7%94%9f%e5%91%bd%e9%81%8a%e6%88%b2-4-%e6%9c%89%e6%95%88%e7%8e%87%e7%9a%84%e4%bd%bf%e7%94%a8%e5%9f%b7%e8%a1%8c%e7%b7%92/
6,"架構面試題 #3, RDBMS 處理樹狀結構的技巧",http://columns.chicken-house.net/2019/06/01/nested-query/
5,三個好用的 ASP.NET HttpHandler,http://columns.chicken-house.net/2004/12/15/%e4%b8%89%e5%80%8b%e5%a5%bd%e7%94%a8%e7%9a%84-asp-net-httphandler/
5,機器又要討錢了:~,http://columns.chicken-house.net/2005/06/08/%e6%a9%9f%e5%99%a8%e5%8f%88%e8%a6%81%e8%a8%8e%e9%8c%a2%e4%ba%86/
5,又敗家了... SONY HREM4,http://columns.chicken-house.net/2005/12/01/%e5%8f%88%e6%95%97%e5%ae%b6%e4%ba%86-sony-hrem4/
5,浩劫重生的 X31 ...,http://columns.chicken-house.net/2006/07/20/%e6%b5%a9%e5%8a%ab%e9%87%8d%e7%94%9f%e7%9a%84-x31/
5,如何在執行檔 (.NET) 裡附加額外的資料?,http://columns.chicken-house.net/2007/02/28/%e5%a6%82%e4%bd%95%e5%9c%a8%e5%9f%b7%e8%a1%8c%e6%aa%94-net-%e8%a3%a1%e9%99%84%e5%8a%a0%e9%a1%8d%e5%a4%96%e7%9a%84%e8%b3%87%e6%96%99/
5,Canon PowerShot S5 IS 出來了,http://columns.chicken-house.net/2007/05/10/canon-powershot-s5-is-%e5%87%ba%e4%be%86%e4%ba%86/
5,WLW Plugins: Code Formatter,http://columns.chicken-house.net/2008/03/07/wlw-plugins-code-formatter/
5,Thread Sync #1. 概念篇 - 如何化被動為主動?,http://columns.chicken-house.net/2008/08/14/thread-sync-1-%e6%a6%82%e5%bf%b5%e7%af%87-%e5%a6%82%e4%bd%95%e5%8c%96%e8%a2%ab%e5%8b%95%e7%82%ba%e4%b8%bb%e5%8b%95/
5,[RUN! PC] 2008 九月號,http://columns.chicken-house.net/2008/09/02/run-pc-2008-%e4%b9%9d%e6%9c%88%e8%99%9f/
5,重生的 IBM ThinkPad X40 ...,http://columns.chicken-house.net/2008/11/06/%e9%87%8d%e7%94%9f%e7%9a%84-ibm-thinkpad-x40/
5,Policy Injection Application Block 小發現...,http://columns.chicken-house.net/2008/11/18/policy-injection-application-block-%e5%b0%8f%e7%99%bc%e7%8f%be/
5,[CODE] 可以輸出到 TextBox 的 TextWriter: TextBoxWriter!,http://columns.chicken-house.net/2011/01/03/code-%e5%8f%af%e4%bb%a5%e8%bc%b8%e5%87%ba%e5%88%b0-textbox-%e7%9a%84-textwriter-textboxwriter/
5,[架構師觀點] 資安沒有捷徑，請從根本做起!,https://columns.chicken-house.net/2020/11/23/security-talk/
4,Paint.NET 2.0,http://columns.chicken-house.net/2004/12/22/paint-net-2-0/
4,老鼠的繁殖力真強... [H],http://columns.chicken-house.net/2006/01/28/%e8%80%81%e9%bc%a0%e7%9a%84%e7%b9%81%e6%ae%96%e5%8a%9b%e7%9c%9f%e5%bc%b7-h/
4,Ya!! Community.Chicken-House.Net 滿兩週年了 :D,http://columns.chicken-house.net/2006/11/19/ya-community-chicken-house-net-%e6%bb%bf%e5%85%a9%e9%80%b1%e5%b9%b4%e4%ba%86-d/
4,推!!!,http://columns.chicken-house.net/2007/07/24/%e6%8e%a8/
4,水電工日誌 1. Cable TV 面板,http://columns.chicken-house.net/2007/09/12/%e6%b0%b4%e9%9b%bb%e5%b7%a5%e6%97%a5%e8%aa%8c-1-cable-tv-%e9%9d%a2%e6%9d%bf/
4,"可惡, 竟然偷貼我的文章... :@",http://columns.chicken-house.net/2007/12/21/%e5%8f%af%e6%83%a1-%e7%ab%9f%e7%84%b6%e5%81%b7%e8%b2%bc%e6%88%91%e7%9a%84%e6%96%87%e7%ab%a0/
4,Memory Management (II) - Test Result,http://columns.chicken-house.net/2008/03/03/memory-management-ii-test-result/
4,Code Formatter 更新: 複製CODE及HTML預覽,http://columns.chicken-house.net/2008/03/31/code-formatter-%e6%9b%b4%e6%96%b0-%e8%a4%87%e8%a3%bdcode%e5%8f%8ahtml%e9%a0%90%e8%a6%bd/
4,Next Ten Years...,http://columns.chicken-house.net/2008/05/12/next-ten-years/
